Quiz1,quiz2,assignment,class activity,midterm
7.25,7,13.3,4,13.5
6.75,7,12,3,16.5
4.5,8,13.3,5,14
10,9.75,11.85,5,14.75
7,8,7.88,5,14.5
8,7,13.5,5,10.75
10,9.5,7.5,5,17.5
7.75,8.5,7.5,5,14.5
7.5,8.25,12.75,5,12.75
8,8.75,13.5,5,16.75
5,6,7.75,5,13
7,9.25,13.13,5,6
7.25,7.5,13.13,5,13.5
7.5,4.63,11.63,5,6.5
7,6.5,13.5,5,9.25
4.75,6.5,7.75,5,9.5
9,9.5,11.85,5,8
9.5,8.5,7.88,5,15.5
3.25,7.5,12.75,5,12
6.25,8.5,11.63,5,17.5
9.25,10,9.1,5,10
10,10,11.4,5,18
3.5,7.25,13.6,5,9
10,8,11.4,5,8
2,6.5,0,4,5
8.5,7,9.1,5,14.25
4,5.75,10.4,5,7
5,6,4.2,5,8
3.5,5.25,4.2,5,11.75
6.75,7.25,13.6,5,15
5.5,7.25,11.75,5,8.75
2.5,6.75,4.2,5,5.75
6.75,7.5,11.4,5,9
7.5,8.5,10.4,5,13.75
7,9.5,8.4,5,15.5
5,6,13.6,5,4.5
9.5,6.5,12.5,5,17
6.5,9.75,8.4,5,12.75
3.5,0,0,3,1.25
3.5,7,11.75,5,13.5
4.5,7,5,14.25,7.75
0,0,0,0,0
8.5,9.5,5,13.5,12
3,9,5,13.25,14
10,6.75,5,14.75,14.25
10,10,5,14.75,19
4.5,9.25,5,14.75,11
3,9.25,5,14.75,11
8.5,8.5,4.5,14,19
8.5,8.25,5,11.5,18.13
5.5,7.13,4,13.25,12
9,9.75,4.25,14,15
7,8.88,0,13,15.88
7.5,9.5,4.5,14.5,11.25
6.5,8.5,0,13,15.88
5.75,8.25,0,13,10.5
7.5,8.5,0,12.25,16.5
7.25,0,0,0,10
5.5,8,0,13,10.25
7.25,8.75,4.5,12,12.5
9.5,9.25,0,11,17.5
8.5,0,0,0,0
8,0,4,8.5,14
7.25,8,4.5,14,14.75
7.5,9.25,0,13,13.25
5,9,4.5,14,10
7.75,3,0,12.75,15
6.25,9.75,5,14,12.25
